date,"Korea, South",US,United Kingdom,Germany,France
2020-04-25,10970,994844,173266,162390,184261
2020-04-26,10981,1023679,178154,163746,185079
2020-04-27,10996,1047495,182806,164884,189259
2020-04-28,11007,1074150,187719,166226,192716
2020-04-29,11012,1104178,192607,168006,190633
2020-04-30,11022,1135958,199323,169632,191678
2020-05-01,11030,1172072,206268,170813,191902
2020-05-02,11043,1202692,211705,171779,193281
2020-05-03,11053,1229601,216362,172530,193825
2020-05-04,11058,1253323,220641,173145,194787
2020-05-05,11061,1279658,225744,174000,196224
2020-05-06,11066,1307302,232509,175437,200036
2020-05-07,11078,1337395,238666,176822,200908
2020-05-08,11096,1366061,243945,178098,202435
2020-05-09,11130,1393428,248187,178873,203095
2020-05-10,11165,1413940,252379,179448,203477
2020-05-11,11194,1433980,256473,180237,204193
2020-05-12,11221,1457623,260510,180909,205343
2020-05-13,11251,1480561,264249,181959,205261
2020-05-14,11278,1509955,268133,182362,206422
2020-05-15,11299,1536888,272082,183130,207162
2020-05-16,11312,1563211,276007,183690,207162
2020-05-17,11328,1583024,279711,184331,207804
2020-05-18,11341,1605522,282585,184554,208293
2020-05-19,11373,1627589,285560,185859,208958
2020-05-20,11386,1652724,285405,186617,209835
2020-05-21,11406,1679506,288370,187224,210169
2020-05-22,11431,1704919,292019,187938,210646
2020-05-23,11456,1727856,295261,188247,211029
2020-05-24,11473,1749278,297791,188611,211079
2020-05-25,11494,1768750,299543,188909,211527
2020-05-26,11534,1788296,303729,189572,211380
2020-05-27,11613,1808167,306161,189952,211637
2020-05-28,11671,1832196,308427,190666,215029
2020-05-29,11710,1857860,310850,191426,215640
2020-05-30,11738,1883047,312677,191719,217526
2020-05-31,11774,1903781,314727,191950,217814
2020-06-01,11813,1921906,316863,192149,218184
2020-06-02,11863,1943828,318844,192442,217393
2020-06-03,11902,1964692,321081,192723,221354
2020-06-04,11941,1987022,323066,193107,218637
2020-06-05,11992,2013303,325078,193582,219294
2020-06-06,12049,2036662,326842,194123,219904
2020-06-07,12087,2054884,328246,194435,220260
2020-06-08,12126,2072849,329514,194804,220525
2020-06-09,12178,2091882,331549,195242,220822
2020-06-10,12223,2113637,332801,195274,221390
2020-06-11,12280,2137413,334224,195463,221842
2020-06-12,12328,2163655,335968,196009,222597
2020-06-13,12362,2189962,337575,196060,223147
2020-06-14,12398,2209790,339125,196319,223563
2020-06-15,12433,2230153,340136,196489,223744
2020-06-16,12477,2254694,341654,197072,223897
2020-06-17,12537,2281007,342955,197455,224383
2020-06-18,12586,2309486,344308,198692,224878
2020-06-19,12653,2340073,345831,199186,225703
